Stub,LBlight
stub-1013,6.4
stub-1172,0.8
stub-1179,1.24375
stub-1188,3.6375
stub-1189,4.134375
stub-1207,1.56666666666667
stub-1215,1.425
stub-1235,1.875
stub-1264,0.2
stub-1273,0.721875
stub-1280,2.43333333333333
stub-1313,4.4
stub-1424,4.7125
stub-2111,8.1
stub-2113,10.5333333333333
stub-2115,6.05
stub-2118,9.66666666666667
stub-2135,6.23333333333333
stub-2137,0.125
stub-2140,1.46666666666667
stub-2144,6.7
stub-2184,8.3
stub-2193,10.3
stub-2235,3.4
stub-2238,4.9
stub-2239,7
stub-2245,4.93333333333333
stub-2247,3.6
stub-2281,5.46666666666667
stub-2282,6.63333333333333
stub-2283,3.5
stub-2292,3.36666666666667
stub-2293,6.53333333333333
stub-2297,6.16666666666667
stub-2789,0.8
stub-2791,0.125
stub-320,7.23333333333333
stub-421,7.4
stub-446**stub-792,6.43333333333333
stub-523,0.166666666666667
stub-570,0.5
stub-574,4.93333333333333
stub-575,0.333333333333333
stub-577,1.5
stub-579,0.2
stub-586,0.1
stub-589,0.233333333333333
stub-595,6.1
stub-603,4.33333333333333
stub-605,0.966666666666667
stub-607,3.83333333333333
stub-613,2.66666666666667
stub-614,3.9
stub-647,1.86666666666667
stub-652,3.76666666666667
stub-654,0.4
stub-658,1.1
stub-660,9.96666666666667
stub-671,0.233333333333333
stub-675,2.56666666666667
stub-693,5.43333333333333
stub-756,5.06666666666667
stub-761,0.833333333333333
stub-901,1.425
stub-958,3.46666666666667
stub-964,0.433333333333333
stub-987,1.25
