Stub,LBlight
stub-1013,0
stub-1070,19.95
stub-1072,17.25
stub-1074,9.43333333333333
stub-1108,16.9
stub-1172,0.7
stub-1179,3.13333333333333
stub-1183,1.66666666666667
stub-1188,18.5666666666667
stub-1189,20.6
stub-1214,15.8666666666667
stub-1215,15.1333333333333
stub-1225,0.566666666666667
stub-1253,12.1
stub-1254,13.3666666666667
stub-1264,1.03333333333333
stub-1265,19.4
stub-1280,6.1
stub-1325,0.266666666666667
stub-1346,15.9333333333333
stub-1353,19.6
stub-1424,22.6333333333333
stub-1817,17.6
stub-1819,7
stub-1851,7.06666666666667
stub-1869,8.3
stub-1872,33.5
stub-1875,17.3
stub-1913,17.1
stub-1914,4.1
stub-1915,9.1
stub-1920,22.7666666666667
stub-1923,14.3
stub-1926,0.7
stub-1933,8.6
stub-1950,10.4
stub-1955,3.6
stub-1958,15.2
stub-1963,24.3
stub-1978,19.55
stub-1981,17.4
stub-1984,14.3
stub-1985,3.3
stub-1993,19.9
stub-1996,11.2
stub-1998,15.2
stub-2000,25.9
stub-2006,10.4
stub-2010,0
stub-2018,0.8
stub-2024,2.7
stub-2028,4.875
stub-2031,4.6
stub-2044,0.5
stub-2047,6.8
stub-2048,0
stub-2049,1.4
stub-2052,0
stub-2053,14.5
stub-2055,2.2
stub-2067,0
stub-2069,2.9
stub-2074,16.5
stub-2075,20.9
stub-2077,9.9
stub-2081,1.7
stub-2083,20.1
stub-2084,1.7
stub-2098,25.7
stub-2105,21.2666666666667
stub-2119,25.45
stub-2137,1.7
stub-2149,23.8333333333333
stub-2151,7.4
stub-2161,22.5
stub-2184,22.7666666666667
stub-2191,1.9
stub-2232,21.4333333333333
stub-2245,22.9333333333333
stub-2247,17.9666666666667
stub-2281,20.3
stub-2302,18.9
stub-2791,7.86666666666667
stub-289,20.6666666666667
stub-297,10.2333333333333
stub-298,23.4333333333333
stub-299,23.2
stub-320,26.0833333333333
stub-322,20.55
stub-328,16.1333333333333
stub-34,19
stub-369,0
stub-421,25.4666666666667
stub-436,14.8
stub-446**stub-792,21.4333333333333
stub-477**stub-508,14.1
stub-597,3.63333333333333
stub-671,0
stub-674**stub-817,6.5
stub-675,7
stub-745,18.4333333333333
stub-852,10.3333333333333
stub-901,20.4666666666667
stub-958,16.8833333333333
stub-964,15.2
