probIn scale
0.4273482 0.0002261713
0.4249397 0.0002336464
0.4614144 0.0002248026
0.452917 0.0002246641
0.4233879 0.0002237127
0.4156296 0.0002372962
0.4431494 0.0002462319
0.4435699 0.0002539966
0.4282728 0.0002490778
0.447681 0.0002409124
0.4175024 0.00025292
0.4078289 0.0002439496
0.3819577 0.0002470279
0.3728326 0.0002548258
0.3941762 0.0002662643
0.391332 0.0002673208
0.3775813 0.0002689133
0.3771846 0.000266931
0.3797896 0.0002685699
0.3754363 0.0002654006
0.3713808 0.0002756584
0.3609802 0.0002810856
0.3319175 0.000279665
0.2998867 0.0002785439
0.3493532 0.0002827741
0.3398193 0.0002665928
0.3124804 0.0002670829
0.3427995 0.0002673337
0.3683258 0.0002670532
0.3666105 0.0002759521
0.3195275 0.0002967272
0.308851 0.0003000728
0.2854097 0.0002894737
0.2879627 0.0002908294
0.2921442 0.000285635
0.3068678 0.0002967404
0.3007556 0.0003012688
0.3305549 0.0002990895
0.3423258 0.000288538
0.344243 0.0002963868
0.3309221 0.0002971714
0.3736158 0.0002913039
0.3913929 0.0002822044
0.4065498 0.0002723433
0.4119896 0.0002730882
0.3825657 0.0002615387
0.3730761 0.0002689954
0.3823561 0.0002745582
0.3614196 0.00026952
0.3606308 0.0002680379
0.3521986 0.0002534275
0.3559359 0.000253499
0.3629569 0.0002572205
0.3335439 0.0002593807
0.3204535 0.0002484929
0.3344785 0.0002514548
0.3135546 0.0002393604
0.3315749 0.0002419682
0.3533099 0.00024347
0.3763465 0.0002460065
0.329971 0.0002606273
0.3502058 0.0002531908
0.3651343 0.0002627487
0.3618695 0.0002623372
0.3138562 0.0002694117
0.2921866 0.0002662086
0.2772809 0.0002768035
0.2503386 0.0002765321
0.2301546 0.0002768752
0.2151117 0.0002855113
0.2256519 0.0002796408
0.2697064 0.0002822726
0.3181545 0.0002745609
0.2894395 0.0002678272
0.3044652 0.0002515583
0.3084815 0.0002540973
0.3084087 0.0002455107
0.3102811 0.0002549726
0.3437375 0.0002512894
0.3519303 0.0002617324
0.3178815 0.0002659376
0.2923501 0.0002552927
0.2851274 0.0002525933
0.2929738 0.0002504638
0.2992857 0.0002422159
0.3080066 0.0002510985
0.3265305 0.0002440725
0.3374807 0.0002418341
0.3297974 0.0002435692
0.3148643 0.0002484908
0.3044783 0.0002647455
0.2927613 0.0002564042
0.3058223 0.0002541833
0.3294981 0.0002765295
0.3195847 0.0002769017
0.3344933 0.0002712566
0.3611901 0.0002829335
0.3739738 0.0002935144
0.3753031 0.0002993843
0.3674144 0.0003043596
0.372198 0.0002938235
0.3888269 0.0003101582
0.364827 0.0003173533
0.3928107 0.0003121985
0.3958926 0.0003239525
0.3811899 0.0003252978
0.3562982 0.0003337549
0.3815197 0.0003326093
0.3801298 0.0003183703
0.4095802 0.000307528
0.3980788 0.0002989633
0.4415424 0.0002881523
0.4196304 0.0002964239
0.4249912 0.0003099212
0.4233422 0.0003182054
0.43268 0.0003168814
0.4130431 0.0003083677
0.398522 0.00033512
0.3849434 0.0003322556
0.3757222 0.0003513729
0.3527967 0.000334497
0.3626407 0.0003423444
0.3580874 0.0003449074
0.3559142 0.0003605625
0.3640371 0.0003679325
0.3584386 0.0003490196
0.3931567 0.0003490169
0.389978 0.0003446084
0.3773371 0.0003438896
0.3851238 0.0003473733
0.3817704 0.0003461345
0.3568525 0.0003342848
0.3701805 0.0003362329
0.3826921 0.0003454781
0.3638159 0.0003328111
0.3419086 0.000327884
0.3811234 0.0003380145
0.3605071 0.0003369055
0.3644841 0.0003235681
0.3769927 0.0003278032
0.3457381 0.0003256537
0.3249262 0.0003256007
0.3009513 0.0003419934
0.3435508 0.0003429602
0.3494223 0.0003585407
0.3492033 0.0003810563
0.3273143 0.0003972915
0.3652806 0.0003933265
0.3890524 0.0003996466
0.3999736 0.0004010528
0.4032363 0.0004124835
0.4161692 0.0004152732
0.3985195 0.0004074316
0.395119 0.0004001046
0.4025868 0.0003962023
0.3948261 0.0003990285
0.4380087 0.0003882618
0.4344129 0.000368081
0.4469483 0.0003527489
0.4171758 0.0003494283
0.4086475 0.0003575154
0.4270582 0.0003549043
0.4085505 0.0003529825
0.3837245 0.0003589695
0.3658459 0.0003736176
0.3747 0.0003739955
0.3428272 0.0003919522
0.3309949 0.0003748732
0.3121892 0.000386363
0.2989899 0.0003997707
0.273666 0.0003987973
0.2868516 0.0003963737
0.2745065 0.0004012665
0.2796018 0.000401843
0.2968603 0.0003988905
0.2807134 0.0003993713
0.2904552 0.0004113264
0.2798372 0.0004110773
0.2761943 0.0004248888
0.2893912 0.0004370384
0.2978155 0.0004208028
0.328374 0.0004057171
0.3097005 0.0004068583
0.2935837 0.0004062195
0.3234054 0.0003939348
0.3289787 0.0003916185
0.3526073 0.0003993099
0.327865 0.0004036893
0.3310622 0.0003968642
0.2949339 0.0003961647
0.2794387 0.0003955822
0.2627915 0.0003939095
0.2600313 0.0003785798
0.2385291 0.0004003279
0.2233493 0.0003908579
0.2377493 0.0004104713
0.219444 0.0004014922
0.2247656 0.0003976262
0.2550719 0.0004079057
0.2397769 0.0004187914
0.2274154 0.0004412818
0.2296427 0.0004522532
0.2540625 0.0004271362
0.2638583 0.0004041138
0.2491467 0.0004236526
0.2450962 0.0004303297
0.2601583 0.0004304727
0.2641526 0.0004211311
0.2551082 0.0004175415
0.2701608 0.0004169665
0.2803725 0.0004292766
0.2965965 0.0004450129
0.2965777 0.0004483385
0.3044821 0.0004356735
0.3275962 0.0004276925
0.3147157 0.0004246569
0.296352 0.0004304411
0.2798683 0.0004206034
0.2960912 0.0004387677
0.3114821 0.0004395599
0.34435 0.0004418666
0.3808982 0.0004331077
0.4070174 0.0004325464
0.4141932 0.0004464015
0.3936732 0.0004330435
0.3903876 0.0004399864
0.3841201 0.0004441607
0.4115203 0.0004267622
0.3839247 0.0004214023
0.4086973 0.0004202297
0.3981278 0.0004161897
0.4212144 0.0004268795
0.4001433 0.0004312947
0.3847043 0.0004436552
0.4122881 0.0004477412
0.405699 0.0004491638
0.436558 0.0004289313
0.4796586 0.000432862
0.4620587 0.000438003
0.4757872 0.0004591019
0.4687009 0.0004846934
0.503827 0.0004760123
0.5112278 0.0004611355
0.5088714 0.000460741
0.5040137 0.0004427425
0.5291182 0.0004380677
0.5147755 0.0004205504
0.4887214 0.0004090979
0.4876424 0.0004344979
0.509673 0.0004233413
0.5241426 0.0004187054
0.5351594 0.0004052648
0.5489802 0.0003944631
0.536947 0.0003830164
0.5158157 0.0003864479
0.5139829 0.000374996
0.4951419 0.0003746315
0.4573519 0.0003806159
0.4675718 0.0003902862
0.4813098 0.0003911234
0.4658447 0.0003892417
0.4735461 0.000389636
0.4825126 0.0003750243
0.4741159 0.00036319
0.4876346 0.0003633279
0.4818243 0.0003592463
0.4676727 0.0003587839
0.437465 0.0003791797
0.4560182 0.0003774907
0.4870412 0.0003923217
0.5041293 0.0003813317
0.4974055 0.0003876905
0.4972626 0.0003670893
0.4872488 0.0003561496
0.4925496 0.0003496101
0.4733336 0.0003552823
0.4748354 0.0003435858
0.4824204 0.0003546996
0.4417789 0.0003470477
0.4530568 0.0003399362
0.4497225 0.000327854
0.4614212 0.000335062
0.4516557 0.0003340841
0.4545503 0.0003229579
0.4568606 0.0003151373
0.4653224 0.0003182482
0.4772732 0.000312424
0.4627277 0.0003044351
0.4620329 0.0002969073
0.4250794 0.0002964443
0.4043459 0.0003024508
0.382769 0.0002993592
0.3768523 0.0003008728
0.3826467 0.0003106378
0.3979791 0.0002945988
0.370592 0.0002963316
0.3343804 0.000289063
0.3480166 0.0002872744
0.3574745 0.0002828957
0.3896092 0.0002783045
0.412538 0.0002723904
0.4041315 0.0002909027
0.4348348 0.0002907514
0.4388867 0.000273867
0.4523573 0.0002731581
0.4461613 0.0002642748
0.4381803 0.0002680883
0.4310142 0.0002732533
0.4248673 0.0002694894
0.4113296 0.0002606876
0.4204873 0.0002683278
0.4279812 0.0002766261
0.4403216 0.0002635783
0.4184342 0.0002648328
0.4386253 0.0002723158
0.4406822 0.0002713801
0.4524744 0.000283381
0.4301787 0.0002870822
0.4229327 0.0002917467
0.4276617 0.0002903538
0.448941 0.0002795734
0.4290146 0.000279579
0.4054731 0.000270839
0.3925936 0.0002795111
0.3956308 0.0002893508
0.3730453 0.0002851077
0.3635908 0.0002828836
0.3557325 0.0002624222
0.3562014 0.0002544978
0.3560443 0.0002566007
0.3466007 0.0002480751
0.3602997 0.000232777
0.3489589 0.0002268898
0.3436692 0.0002374281
0.3473751 0.0002346441
0.3296788 0.0002221724
0.2918671 0.0002383475
0.3080547 0.0002410256
0.2887784 0.0002447628
0.3224893 0.0002379608
0.3306409 0.0002405205
0.3784256 0.0002296848
0.3887191 0.0002286324
0.3801523 0.0002305291
0.4034613 0.0002262028
0.3806043 0.000218451
0.4125229 0.0002224684
0.4126467 0.0002207741
0.399505 0.0002224948
0.3888533 0.0002198853
0.4107818 0.0002179104
0.3890057 0.000219636
0.4122727 0.0002119331
0.4450837 0.0002144849
0.4612758 0.0002088685
0.4696988 0.0002059096
0.4579235 0.0002144688
0.445349 0.0002169565
0.4431415 0.0002157358
0.4093404 0.0002136962
0.4096121 0.0002190088
0.4369713 0.0002230967
0.4757621 0.0002233076
0.4731984 0.0002207995
0.4744978 0.0002170222
0.4797508 0.0002124659
0.4619605 0.0002079061
0.479257 0.0002106183
0.5322154 0.0002163822
0.5255325 0.0002185762
0.5080024 0.0002139211
0.4919206 0.0002162077
0.4405704 0.0002192636
0.4105351 0.0002217492
0.4088354 0.0002201878
0.4588223 0.0002205682
0.4611848 0.0002288989
0.4408873 0.0002292548
0.4587287 0.0002246673
0.4834194 0.000215047
0.4686976 0.0002175178
0.428221 0.0002144258
0.4694935 0.0002167036
0.4449765 0.0002165971
0.4469652 0.0002062652
0.491004 0.0001982192
0.4663627 0.0001949211
0.4673878 0.0001908128
0.4880287 0.000184048
0.4831294 0.0001857249
0.4596564 0.0001895874
0.462097 0.0001826219
0.4247341 0.0001876171
0.4342122 0.0001946195
0.4628743 0.0001921268
0.4701799 0.0001918631
0.4964748 0.0002038329
0.5254689 0.0002123929
0.5184503 0.0002112935
0.5116798 0.0002199597
0.53255 0.0002209117
0.5321174 0.0002271741
0.5671856 0.0002245777
0.566383 0.0002324335
0.5227752 0.0002308281
0.5251458 0.0002295287
0.5456546 0.0002177567
0.5574202 0.0002150813
0.5432611 0.0002162405
0.5301967 0.0002179302
