probIn scale
0.4866479 0.0003922246
0.5039697 0.0003859504
0.5045363 0.0003821344
0.5030032 0.0004038969
0.4649678 0.0003981461
0.4747154 0.0004006871
0.4666818 0.0004107327
0.4680413 0.0003979882
0.4448649 0.0004130282
0.4273186 0.000407984
0.3839285 0.0004092046
0.3780824 0.0004352792
0.3921081 0.0004479547
0.4494933 0.0004521749
0.4579896 0.0004731466
0.4591717 0.000485899
0.4235764 0.0004918588
0.4041475 0.0004960358
0.4224975 0.0004833958
0.4512177 0.0005070346
0.4720065 0.0005307966
0.4349571 0.0005496472
0.4687155 0.0005687229
0.4820269 0.0005609991
0.5055623 0.0005531308
0.4726718 0.0005503914
0.4653419 0.0005709969
0.4749427 0.0005786388
0.4782754 0.0005517976
0.4427885 0.0005329623
0.4383045 0.0005267328
0.4602072 0.0005243715
0.4664935 0.0005083322
0.4468281 0.0004875053
0.462616 0.0005097458
0.4904058 0.0005107421
0.5076618 0.0004920727
0.5199509 0.0004970865
0.5119568 0.0005007137
0.5102466 0.0005077546
0.5172857 0.0004952336
0.5346246 0.0004974198
0.5376823 0.0005032504
0.506736 0.0005244881
0.5063352 0.0005214335
0.4891793 0.0005144833
0.4630286 0.0005058196
0.4409829 0.00049196
0.398581 0.0004970439
0.40773 0.0005149798
0.4012376 0.0005006353
0.399353 0.0004922509
0.3937215 0.0004902463
0.4012931 0.0005003766
0.3864389 0.0005226186
0.3590966 0.0005145629
0.3470804 0.0005101094
0.36126 0.0005010888
0.3775879 0.0005032479
0.3657773 0.0005104995
0.3813571 0.0005407318
0.3466546 0.0005280942
0.3284413 0.0005138808
0.3591463 0.0005287654
0.363023 0.0005173955
0.4043585 0.0004933697
0.4101527 0.0004603922
0.3953083 0.0004636739
0.3913192 0.0004673337
0.3908913 0.000482888
0.3818396 0.0004885402
0.3851117 0.0004989696
0.4228141 0.00051875
0.4145473 0.0005257681
0.4313719 0.0005095281
0.4119605 0.0005192111
0.4374917 0.0005156915
0.4216107 0.0004721689
0.4285386 0.0005025706
0.4295034 0.0004984353
0.4227451 0.0005077335
0.4144818 0.0005326461
0.4062302 0.0005327333
0.4142531 0.000527697
0.4210185 0.0005245752
0.433967 0.0005021222
0.4455559 0.0004923254
0.4635724 0.0005000305
0.4347372 0.0005043654
0.4245264 0.0004983229
0.4265525 0.0004863833
0.4542329 0.0004477674
0.4373766 0.0004425687
0.4135218 0.0004483252
0.38254 0.0004315261
0.3927754 0.0004488371
0.4047934 0.0004507233
0.4144568 0.0004335649
0.4455973 0.0004473367
0.4943395 0.0004435052
0.5002724 0.0004543145
0.4915571 0.0004561413
0.5371336 0.0004346524
0.5200564 0.0004193153
0.4971308 0.0004164634
0.4683698 0.0004255041
0.4662292 0.0004311367
0.4411636 0.0004387338
0.4120482 0.0004357571
0.41003 0.0004425695
0.3878874 0.0004413111
0.4061112 0.0004374566
0.3998501 0.0004383265
0.4007794 0.0004551263
0.4445481 0.0004588291
0.4460833 0.0004595711
0.456876 0.0004666246
0.4262086 0.0004848153
0.405804 0.0004863308
0.4062416 0.0004895955
0.4082685 0.0004609818
0.4497232 0.0004368185
0.4882508 0.000441035
0.4767739 0.0004356195
0.4650586 0.0004263289
0.4581422 0.0004120524
0.4319035 0.0004390927
0.4342913 0.0004476263
0.4487705 0.0004387799
0.4554946 0.0004646209
0.4450959 0.000458338
0.4904176 0.0004656576
0.4738348 0.000456047
0.4597214 0.0004518984
0.4728967 0.0004530587
0.4690501 0.0004406423
0.4611073 0.0004425344
0.4639714 0.0004354109
0.4915516 0.0004246989
0.4687883 0.0004263795
0.4560988 0.0004264077
0.4508221 0.0004390385
0.4547483 0.0004582773
0.4544679 0.0004858934
0.4442444 0.000501869
0.4459082 0.0005156947
0.4596745 0.0005027652
0.4636995 0.0005130841
0.4770182 0.0005037356
0.4607431 0.0005189199
0.4651488 0.0005074236
0.4320093 0.0005089728
0.4573797 0.000512389
0.4646833 0.0005135507
0.5049877 0.0004954488
0.4550772 0.0005052434
0.4630368 0.0005286922
0.4745011 0.0005310237
0.4903763 0.000537648
0.4863057 0.0005300099
0.4436127 0.0005167878
0.4635681 0.000518537
0.464726 0.0005333204
0.4853672 0.0005105264
0.467224 0.0005303657
0.4524931 0.0005380835
0.4680562 0.0005430973
0.478816 0.0005408057
0.487664 0.0005299813
0.4666388 0.0004843992
0.4834549 0.0004860986
0.473702 0.0004753121
0.471151 0.0004922233
0.4881969 0.0005080057
0.4723283 0.0005352922
0.4408067 0.0005257049
0.4519496 0.0005267427
0.4426912 0.0005471642
0.4079113 0.0005420234
0.4442342 0.0005504119
0.4353684 0.0005284702
0.4284687 0.0005428612
0.4456306 0.000506768
